feature,importance
Customer service calls,15.603687260519814
International plan,15.42529618629734
total_minutes,10.681157998829924
Total intl calls,8.590466739670747
Total day charge,6.715295295110583
Total day minutes,5.783739340108984
Number vmail messages,4.285824667037094
Total intl minutes,3.9076460162294318
Total intl charge,3.6177048506532996
Voice mail plan,3.009476512218073
total_charge_per_call,2.9270749901267514
Total eve minutes,1.4484951306300422
Total eve charge,1.3989154609330778
day_minutes_ratio,1.2333922008658664
total_min_per_call,1.2081202547827972
Total night charge,1.144805534125468
day_charge_per_call,1.0842495091315993
eve_charge_per_call,1.014103439284541
night_charge_per_min,1.00644814148923
eve_charge_per_min,0.9908228365367696
total_charge_per_min,0.9590770692674843
day_min_per_call,0.9476019137442423
eve_min_per_call,0.922439638766619
total_calls,0.8712909055158754
night_charge_per_call,0.8229927395779066
Total night calls,0.8169605247412944
Total night minutes,0.8130234875347252
Account length,0.7351565506015735
Total day calls,0.5581008228548064
day_charge_per_min,0.49493374055402317
day_charge_ratio,0.40852165863607254
Total eve calls,0.3325787749088483
night_min_per_call,0.24059980871510087
