feature,importance
Customer service calls,14.382702615226759
International plan,14.214094552659459
total_minutes,12.003467525250668
Total day charge,8.47622746785961
Total intl calls,8.426225019141674
Total day minutes,5.470014810063162
Total intl minutes,5.146824176528678
Voice mail plan,5.127974462480793
Total intl charge,3.4256435754863057
total_charge_per_call,3.21048060370391
Total eve charge,3.02002710525626
Number vmail messages,2.980761007830349
Total eve minutes,2.486009772954969
night_charge_per_min,2.2963417222021145
total_min_per_call,2.095714471686693
day_minutes_ratio,1.959249627211211
day_charge_per_call,1.8525528224571555
eve_charge_per_call,1.763479727112015
Total night charge,1.6622089348882136
