State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,service_calls_bin,day_charge_per_min,day_min_per_call,day_charge_per_call,eve_charge_per_min,eve_min_per_call,eve_charge_per_call,night_charge_per_min,night_min_per_call,night_charge_per_call,total_minutes,total_calls,total_charge,total_charge_per_min,total_min_per_call,total_charge_per_call,day_minutes_ratio,day_charge_ratio,day_minutes_group,cs_calls_group,cs_bin,day_min_bin,account_bin,intl_bin,charge_bin
KS,128,415,No,Yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,0-1,0.1700113164843455,2.41,0.4097272727272727,0.08500506585612969,1.993939393939394,0.1694949494949495,0.044993870044953005,2.689010989010989,0.12098901098901099,717.2,303,75.56,0.10535415504740658,2.366996699669967,0.2493729372937294,0.36963190184049083,0.5964796188459502,High Day Minutes,High CS Calls,0-1,Q4 (216-351 min),Q4 (127-243 days),Q2 (8-10 min),Q4 (67-96$)
OH,107,415,No,Yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,0-1,0.16998762376237625,1.313821138211382,0.22333333333333333,0.08501278772378518,1.8980582524271845,0.16135922330097088,0.04500786163522012,2.469902912621359,0.11116504854368932,625.2,332,59.24000000000001,0.09475367882277672,1.883132530120482,0.17843373493975906,0.2584772872680742,0.463706954760297,Low Day Minutes,High CS Calls,0-1,Q2 (143-180 min),Q3 (100-127 days),Q4 (12-20 min),Q2 (52-59$)
NJ,137,415,No,No,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,0-1,0.17000821692686935,2.135087719298246,0.3629824561403509,0.08498349834983498,1.1018181818181818,0.09363636363636364,0.045018450184501846,1.5634615384615385,0.07038461538461539,539.4000000000001,333,62.290000000000006,0.11548016314423433,1.6198198198198202,0.18705705705705708,0.4512421208750463,0.6643120886177556,High Day Minutes,Low CS Calls,0-1,Q4 (216-351 min),Q4 (127-243 days),Q4 (12-20 min),Q3 (59-67$)
OH,84,408,Yes,No,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,2-4,0.17000668002672012,4.2169014084507035,0.7169014084507042,0.08497576736672051,0.7034090909090909,0.05977272727272727,0.04499746063991874,2.2123595505617977,0.0995505617977528,564.8,255,66.8,0.11827195467422097,2.2149019607843137,0.2619607843137255,0.5300991501416431,0.7619760479041916,High Day Minutes,High CS Calls,2-3,Q4 (216-351 min),Q2 (73-100 days),Q1 (-0-8 min),Q4 (67-96$)
OK,75,415,Yes,No,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,2-4,0.17000599880023995,1.475221238938053,0.25079646017699114,0.08503034389750505,1.2155737704918033,0.1033606557377049,0.04499732477260567,1.5446280991735537,0.06950413223140496,512.0,359,52.089999999999996,0.10173828124999999,1.426183844011142,0.1450974930362117,0.3255859375,0.5440583605298522,Low Day Minutes,High CS Calls,2-3,Q2 (143-180 min),Q2 (73-100 days),Q2 (8-10 min),Q1 (23-52$)
AL,118,510,Yes,No,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,0-1,0.17000895255147716,2.279591836734694,0.38755102040816325,0.08499546690843156,2.1841584158415843,0.18564356435643564,0.04502206964198136,1.7279661016949153,0.07779661016949152,654.1999999999999,323,67.61,0.10334760012228678,2.0253869969040244,0.20931888544891641,0.3414857841638643,0.5617512202336932,High Day Minutes,Low CS Calls,0-1,Q4 (216-351 min),Q3 (100-127 days),Q1 (-0-8 min),Q4 (67-96$)
MA,121,510,No,Yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,2-4,0.16998166819431718,2.4795454545454545,0.42147727272727276,0.08499282639885222,3.2268518518518516,0.27425925925925926,0.04501411100658514,1.8016949152542372,0.08110169491525424,786.8000000000001,321,78.31,0.09952974072191154,2.451090342679128,0.2439563862928349,0.27732587697000505,0.47363044311071384,High Day Minutes,High CS Calls,2-3,Q4 (216-351 min),Q3 (100-127 days),Q1 (-0-8 min),Q4 (67-96$)
MO,147,415,Yes,No,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,0-1,0.17,1.9873417721518987,0.3378481012658228,0.08496605237633366,1.0968085106382979,0.09319148936170213,0.04499527856468366,2.2062500000000003,0.09927083333333332,479.00000000000006,275,46.900000000000006,0.09791231732776617,1.741818181818182,0.17054545454545456,0.32776617954070975,0.5690831556503197,Low Day Minutes,Low CS Calls,0-1,Q2 (143-180 min),Q4 (127-243 days),Q1 (-0-8 min),Q1 (23-52$)
WV,141,415,Yes,Yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,0-1,0.16999226604795048,3.0785714285714287,0.5233333333333333,0.085,2.0,0.17,0.04500612745098039,3.364948453608247,0.15144329896907216,818.2,297,80.53999999999999,0.0984355903202151,2.754882154882155,0.27117845117845113,0.31605964311904183,0.5458157437298238,High Day Minutes,Low CS Calls,0-1,Q4 (216-351 min),Q4 (127-243 days),Q3 (10-12 min),Q4 (67-96$)
RI,74,415,No,No,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,0-1,0.17000532765050613,1.4779527559055117,0.25125984251968503,0.08500611995104039,1.104054054054054,0.09385135135135135,0.045,2.0851063829787235,0.09382978723404256,556.2,374,57.08,0.1026249550521395,1.4871657754010696,0.15262032085561497,0.3374685364976627,0.5590399439383322,High Day Minutes,Low CS Calls,0-1,Q3 (180-216 min),Q2 (73-100 days),Q2 (8-10 min),Q2 (52-59$)
