State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,total_minutes,total_calls,total_charge,day_charge_per_min,day_min_per_call,day_charge_per_call,eve_charge_per_min,eve_min_per_call,eve_charge_per_call,night_charge_per_min,night_min_per_call,night_charge_per_call,total_charge_per_min,total_min_per_call,total_charge_per_call,day_minutes_ratio,day_charge_ratio,predicted_proba,predicted_label
LA,117,408,No,No,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False,760.6000000000001,271,73.32,0.1700271002710027,1.902061855670103,0.3234020618556701,0.08501137656427758,4.3950000000000005,0.373625,0.04499536607970343,2.397777777777778,0.1078888888888889,0.09639758085721796,2.8066420664206646,0.2705535055350553,0.24257165395740202,0.42785051827605025,0.1117303468844498,0
IN,65,415,No,No,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True,579.1000000000001,337,54.2,0.1700232378001549,0.9423357664233576,0.16021897810218977,0.08498905908096281,2.753012048192771,0.23397590361445786,0.045019157088122604,1.8810810810810812,0.0846846846846847,0.0935935071662925,1.71839762611276,0.16083086053412463,0.222932136073217,0.4049815498154981,0.8712561114204649,1
NY,161,415,No,No,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True,816.7,301,92.29,0.16999098828477022,4.96865671641791,0.8446268656716418,0.08499056010069227,3.2762886597938143,0.2784536082474227,0.0450186799501868,1.2546875,0.056484375,0.11300355087547446,2.7132890365448508,0.30661129568106316,0.4076160156728296,0.613175858706252,0.9821048697010732,1
SC,111,415,No,No,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,445.0,316,41.05,0.17001811594202898,1.071844660194175,0.18223300970873785,0.08499635833940276,1.3460784313725491,0.11441176470588235,0.044989451476793244,1.8057142857142856,0.08123809523809523,0.09224719101123595,1.4082278481012658,0.12990506329113924,0.24808988764044945,0.4572472594397077,0.01796637405110147,0
HI,49,510,No,No,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,524.1999999999999,317,49.6,0.16999161777032692,1.0196581196581196,0.17333333333333334,0.08498372849837285,1.973394495412844,0.16770642201834862,0.044991606043648574,1.9855555555555555,0.08933333333333332,0.09462037390309044,1.6536277602523657,0.15646687697160883,0.2275848912628768,0.4088709677419355,0.02861668490963274,0
AK,36,408,No,Yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,452.6,323,48.42,0.16999316473000683,1.14296875,0.194296875,0.0849846153846154,2.03125,0.172625,0.04501160092807424,1.186238532110092,0.05339449541284404,0.1069818824569156,1.4012383900928793,0.14990712074303406,0.3232434821034026,0.5136307311028501,0.011074491992330933,0
MI,65,415,No,No,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,521.8,365,59.36000000000001,0.16999526739233317,1.7608333333333335,0.29933333333333334,0.08499384993849939,1.3327868852459015,0.11327868852459017,0.04498886414253898,1.1415254237288135,0.051355932203389826,0.11376006132617864,1.4295890410958902,0.16263013698630138,0.4049444231506325,0.605121293800539,0.0086917986347039,0
ID,119,415,No,No,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,542.3999999999999,325,55.53,0.1700188560653677,1.3956140350877193,0.23728070175438598,0.0849978383052313,1.976923076923077,0.16803418803418804,0.04497206703910615,1.5736263736263736,0.07076923076923078,0.10237831858407083,1.6689230769230765,0.17086153846153845,0.29332595870206496,0.4871240770754547,0.8830944985536668,1
VA,10,408,No,No,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,670.4999999999999,241,63.620000000000005,0.17001612036539496,1.6616071428571428,0.28250000000000003,0.08501577287066248,2.881818181818182,0.24500000000000002,0.045014144271570015,4.96140350877193,0.22333333333333333,0.09488441461595826,2.782157676348547,0.2639834024896266,0.2775540641312454,0.49732788431310904,0.026771615669586333,0
WI,68,415,No,No,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,537.2,340,55.36000000000001,0.1700268817204301,2.125714285714286,0.36142857142857143,0.08498985801217038,1.5030487804878048,0.1277439024390244,0.04499229583975346,1.2601941747572816,0.05669902912621359,0.10305286671630678,1.58,0.16282352941176473,0.27699180938198065,0.4570086705202312,0.018558151736649917,0
